Date,UnitsConsumed
2016-01-02,0.59
2016-02-02,1.05
2016-03-02,0.6000000000000001
2016-04-02,0.46
2016-05-02,0.54
2016-06-02,0.5800000000000001
2016-07-02,0.64
2016-08-02,0.1
2016-09-02,0.47
2016-10-02,0.64
2016-11-02,0.5599999999999999
2016-12-02,0.51
2016-02-13,0.5700000000000001
2016-02-14,0.0
2016-02-15,0.03
2016-02-16,0.37
2016-02-17,0.62
2016-02-18,0.46
2016-02-19,0.66
2016-02-20,0.6699999999999999
2016-02-21,0.66
2016-02-22,0.5499999999999999
2016-02-23,0.82
2016-02-24,1.23
2016-02-25,1.29
2016-02-26,0.8
2016-02-27,1.3199999999999998
2016-02-28,1.19
2016-02-29,1.4300000000000002
2016-01-03,1.1900000000000002
2016-02-03,1.31
2016-03-03,1.2
2016-04-03,1.12
2016-05-03,1.23
2016-06-03,1.3199999999999998
2016-07-03,0.87
2016-08-03,1.1400000000000001
2016-09-03,1.44
2016-10-03,1.1400000000000001
2016-11-03,0.98
2016-12-03,1.2
2016-03-13,0.91
2016-03-14,0.9500000000000001
2016-03-15,1.17
2016-03-16,1.06
2016-03-17,1.1800000000000002
2016-03-18,1.32
2016-03-19,1.2200000000000002
2016-03-20,0.74
2016-03-21,0.54
2016-03-22,0.49
2016-03-23,0.66
2016-03-24,0.5800000000000001
2016-03-25,0.9100000000000001
2016-03-26,1.0
2016-03-27,1.1300000000000001
2016-03-28,0.81
2016-03-29,0.81
2016-03-30,0.69
2016-03-31,0.8800000000000001
2016-01-04,1.19
2016-02-04,1.69
2016-03-04,1.34
2016-04-04,1.52
2016-05-04,1.11
2016-06-04,1.1600000000000001
2016-07-04,1.38
2016-08-04,1.48
2016-09-04,1.31
2016-10-04,1.49
2016-11-04,1.5
2016-12-04,1.17
2016-04-13,1.48
2016-04-14,2.71
2016-04-15,1.75
2016-04-16,1.7200000000000002
2016-04-17,1.9300000000000002
2016-04-18,1.82
2016-04-19,1.61
2016-04-20,0.68
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.79
2016-04-26,1.7000000000000002
2016-04-27,1.9300000000000002
2016-04-28,1.94
2016-04-29,1.42
2016-04-30,1.06
2016-01-05,1.73
2016-02-05,2.31
2016-03-05,0.0
2016-04-05,3.6799999999999997
2016-05-05,1.21
2016-06-05,1.02
2016-07-05,1.0099999999999998
2016-08-05,1.01
2016-09-05,0.48
2016-10-05,0.77
2016-11-05,0.66
2016-12-05,0.6900000000000001
2016-05-13,0.52
2016-05-14,1.09
2016-05-15,1.6900000000000002
2016-05-16,1.26
2016-05-17,0.95
2016-05-18,1.25
2016-05-19,0.8600000000000001
2016-05-20,0.75
2016-05-21,1.21
2016-05-22,1.0
2016-05-23,1.35
2016-05-24,1.3499999999999999
2016-05-25,1.28
2016-05-26,1.5299999999999998
2016-05-27,0.6599999999999999
2016-05-28,1.4700000000000002
2016-05-29,1.38
2016-05-30,1.4
2016-05-31,1.06
2016-01-06,0.44000000000000006
2016-02-06,0.0
2016-03-06,0.0
2016-04-06,0.0
2016-05-06,0.0
2016-06-06,0.0
2016-07-06,0.0
2016-08-06,0.0
2016-09-06,0.0
2016-10-06,0.0
2016-11-06,0.0
2016-12-06,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-01-07,0.0
2016-02-07,0.0
2016-03-07,0.0
2016-04-07,0.0
2016-05-07,0.0
2016-06-07,0.0
2016-07-07,0.0
2016-08-07,0.0
2016-09-07,0.0
2016-10-07,0.0
2016-11-07,0.0
2016-12-07,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-01-08,0.0
2016-02-08,0.0
2016-03-08,0.0
2016-04-08,0.0
2016-05-08,0.0
2016-06-08,0.0
2016-07-08,0.0
2016-08-08,0.0
2016-09-08,0.0
2016-10-08,0.0
2016-11-08,0.0
2016-12-08,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-01-09,0.0
2016-02-09,0.0
2016-03-09,0.0
2016-04-09,0.0
2016-05-09,0.0
2016-06-09,0.0
2016-07-09,0.0
2016-08-09,0.0
2016-09-09,0.0
2016-10-09,0.0
2016-11-09,0.0
2016-12-09,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-01-10,0.0
2016-02-10,0.0
2016-03-10,0.0
2016-04-10,0.0
2016-05-10,0.0
2016-06-10,0.0
2016-07-10,0.0
2016-08-10,0.0
2016-09-10,0.0
2016-10-10,0.0
2016-11-10,0.0
2016-12-10,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-01-11,0.0
2016-02-11,0.0
2016-03-11,0.0
2016-04-11,0.0
2016-05-11,0.0
2016-06-11,0.0
2016-07-11,0.0
2016-08-11,0.0
2016-09-11,0.0
2016-10-11,0.0
2016-11-11,0.0
2016-12-11,0.0
2016-11-13,0.0
2016-11-14,0.71
2016-11-15,0.6699999999999999
2016-11-16,0.6799999999999999
2016-11-17,0.81
2016-11-18,0.84
2016-11-19,0.74
2016-11-20,0.6100000000000001
2016-11-21,0.74
2016-11-22,0.76
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.58
2016-01-12,0.76
2016-02-12,0.05
2016-03-12,0.6
2016-04-12,0.8900000000000001
2016-05-12,0.08
2016-06-12,0.0
2016-07-12,0.67
2016-08-12,0.02
2016-09-12,0.74
2016-10-12,0.09
2016-11-12,0.0
2016-12-12,0.0
2016-12-13,1.39
2016-12-14,0.8800000000000001
2016-12-15,0.14
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.03
2017-06-01,0.6699999999999999
2017-07-01,0.8800000000000001
2017-08-01,0.9100000000000001
2017-09-01,1.1199999999999999
2017-10-01,0.23
2017-11-01,0.5900000000000001
2017-12-01,0.8
2017-01-13,0.8900000000000001
2017-01-14,0.9800000000000001
2017-01-15,1.31
2017-01-16,0.75
2017-01-17,0.81
2017-01-18,0.22999999999999998
2017-01-19,0.54
2017-01-20,1.2100000000000002
2017-01-21,1.15
2017-01-22,1.0899999999999999
2017-01-23,0.47
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-01-02,0.0
2017-02-02,0.0
2017-03-02,0.0
2017-04-02,0.0
2017-05-02,0.0
2017-06-02,0.0
2017-07-02,0.0
2017-08-02,0.0
2017-09-02,0.0
2017-10-02,0.0
2017-11-02,0.0
2017-12-02,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-01-03,0.0
2017-02-03,0.0
2017-03-03,0.0
2017-04-03,0.0
2017-05-03,0.0
2017-06-03,0.0
2017-07-03,0.0
2017-08-03,0.0
2017-09-03,0.0
2017-10-03,0.0
2017-11-03,0.0
2017-12-03,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.6300000000000001
2017-03-20,0.9800000000000001
2017-03-21,0.9700000000000001
2017-03-22,0.3
2017-03-23,0.49
2017-03-24,1.0
2017-03-25,1.91
2017-03-26,1.17
2017-03-27,0.0
2017-03-28,1.61
2017-03-29,1.84
2017-03-30,1.29
2017-03-31,0.05
2017-01-04,0.55
2017-02-04,0.4
2017-03-04,1.37
2017-04-04,1.8800000000000001
2017-05-04,1.1099999999999999
2017-06-04,0.79
2017-07-04,0.0
2017-08-04,0.0
2017-09-04,0.0
2017-10-04,0.0
2017-11-04,0.0
2017-12-04,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,1.08
2017-04-19,1.44
2017-04-20,1.4000000000000001
2017-04-21,0.21
2017-04-22,0.0
2017-04-23,1.59
2017-04-24,0.64
2017-04-25,0.9299999999999999
2017-04-26,1.25
2017-04-27,1.1500000000000001
2017-04-28,1.47
2017-04-29,1.7299999999999998
2017-04-30,1.1600000000000001
2017-01-05,1.05
2017-02-05,0.5
2017-03-05,0.39
2017-04-05,1.09
2017-05-05,1.8000000000000003
2017-06-05,1.73
2017-07-05,1.31
2017-08-05,0.71
2017-09-05,0.52
2017-10-05,1.51
2017-11-05,1.53
2017-12-05,1.0899999999999999
2017-05-13,1.27
2017-05-14,0.6699999999999999
2017-05-15,1.65
2017-05-16,1.86
2017-05-17,1.6
2017-05-18,1.68
2017-05-19,2.0
2017-05-20,1.52
2017-05-21,1.66
2017-05-22,0.97
2017-05-23,1.26
2017-05-24,1.66
2017-05-25,1.82
2017-05-26,1.63
2017-05-27,0.51
2017-05-28,2.2
2017-05-29,1.59
2017-05-30,0.95
2017-05-31,1.5500000000000003
2017-01-06,1.4100000000000001
2017-02-06,1.4100000000000001
2017-03-06,1.04
2017-04-06,0.47
2017-05-06,0.0
2017-06-06,0.0
2017-07-06,0.0
2017-08-06,0.0
2017-09-06,0.0
2017-10-06,0.0
2017-11-06,0.0
2017-12-06,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-01-07,0.0
2017-02-07,0.0
2017-03-07,0.0
2017-04-07,0.0
2017-05-07,0.0
2017-06-07,0.0
2017-07-07,0.0
2017-08-07,0.0
2017-09-07,0.0
2017-10-07,0.0
2017-11-07,0.0
2017-12-07,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-01-08,0.0
2017-02-08,0.0
2017-03-08,0.0
2017-04-08,0.0
2017-05-08,0.0
2017-06-08,0.0
2017-07-08,0.0
2017-08-08,0.0
2017-09-08,0.0
2017-10-08,0.0
2017-11-08,0.0
2017-12-08,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-01-09,0.0
2017-02-09,0.0
2017-03-09,0.0
2017-04-09,0.0
2017-05-09,0.0
2017-06-09,0.0
2017-07-09,0.0
2017-08-09,0.0
2017-09-09,0.0
2017-10-09,0.0
2017-11-09,0.0
2017-12-09,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-01-10,0.0
2017-02-10,0.0
2017-03-10,0.0
2017-04-10,0.0
2017-05-10,0.0
2017-06-10,0.0
2017-07-10,0.0
2017-08-10,0.0
2017-09-10,0.0
2017-10-10,0.0
2017-11-10,0.0
2017-12-10,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-01-11,0.0
2017-02-11,0.0
2017-03-11,0.0
2017-04-11,0.0
2017-05-11,0.0
2017-06-11,0.0
2017-07-11,0.0
2017-08-11,0.0
2017-09-11,0.0
2017-10-11,0.0
2017-11-11,0.0
2017-12-11,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-01-12,0.0
2017-02-12,0.0
2017-03-12,0.0
2017-04-12,0.0
2017-05-12,0.0
2017-06-12,0.0
2017-07-12,0.0
2017-08-12,0.0
2017-09-12,0.0
2017-10-12,0.0
2017-11-12,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
